summary_index,summary_sent,best-avg-rouge-01,best-avg-rouge-02,best-avg-rouge-03
18,"Hun Sen and Ranariddh eventually form a coalition at summit convened by Sihanouk.
","0/2:Uncompromising enemies just a few months ago, Hun Sen and FUNCINPEC President Prince Norodom Ranariddh agreed Nov. 13 to form a government at a summit convened by Sihanouk.
","8/7:Ranariddh, whose FUNCINPEC party finished a close second in the election, returned last week and struck a deal with Hun Sen to form a coalition government.
","6/3:But a deal reached between Hun Sen and his chief rival, Prince Norodom Ranariddh, on forming a new government last week has opened the door for their return.
"
19,"Hun Sen remains prime minister, Ranariddh is president of the national assembly, and a new senate will be formed.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
","5/5:After a three-month impasse, they agreed last week to a coalition deal that will make Hun Sen sole prime minister and Ranariddh president of the National Assembly.
","6/12:Last week, Hun Sen's Cambodian People's Party and Ranariddh's FUNCINPEC party agreed to form a coalition that would leave Hun Sen as sole prime minister and make the prince president of the National Assembly.
"
2,"King Sihanouk declined to chair talks in either place.
","7/0:King Norodom Sihanouk has declined requests to chair a summit of Cambodia's top political leaders, saying the meeting would not bring any progress in deadlocked negotiations to form a government.
","7/12:Citing Hun Sen's threats to arrest opposition politicians following two alleged attempts on his life, Ranariddh and Sam Rainsy have said they do not feel safe negotiating inside the country and asked the king to chair the summit at his residence in Beijing.
","2/17:The king, the sole force in Cambodian politics able to broker a deal, pressured both sides to reach agreement before he leaves Saturday for medical treatment in Beijing.
"
20,"Opposition leader Rainsy left out.
","5/17:Ranariddh's ally, Sam Rainsy, whose party placed a distant third in the election, was left out of last week's deal.
","7/23:In his speech, Hun Sen blamed the violence on opposition leaders, saying the demonstrations instigated social and economic chaos.
","2/9:The parties will hammer out details later.
"
21,"He seeks strong assurance of safety should he return to Cambodia.
","9/6:It is detrimental to the sovereignty of Cambodia,'' he said.
","1/14:Diplomatic efforts to revive the stalled talks appeared to bear fruit Monday as Japanese Foreign Affairs Secretary of State Nobutaka Machimura said King Norodom Sihanouk has called on Ranariddh and Sam Rainsy to return to Cambodia.
","6/5:His assurances come a week before the first session of Cambodia's new parliament, the National Assembly.
"
22,"Cambodia King Norodom Sihanouk praised formation of a coalition of the Countries top two political parties, leaving strongman Hun Sen as Prime Minister and opposition leader Prince Norodom Ranariddh president of the National Assembly.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
","6/12:Last week, Hun Sen's Cambodian People's Party and Ranariddh's FUNCINPEC party agreed to form a coalition that would leave Hun Sen as sole prime minister and make the prince president of the National Assembly.
","2/0:Cambodia's bickering political parties broke a three-month deadlock Friday and agreed to a coalition government leaving strongman Hun Sen as sole prime minister, King Norodom Sihanouk announced.
"
23,"The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
","2/22:The CPP fell short of the two-thirds majority needed to form a government alone.
","7/5:Hun Sen used Thursday's anniversary of a peace agreement ending the country's civil war to pressure the opposition to form a coalition government with his party.
","3/1:Disputes over the presidency have been a major stumbling block in talks between the two-party opposition bloc and the Cambodian People's Party to form a new government.
"
24,"Opposition leader Sam Rainey was seeking assurances that he and his party members would not be arrested if they return to Cambodia.
","6/0:Cambodian leader Hun Sen has guaranteed the safety and political freedom of all politicians, trying to ease the fears of his rivals that they will be arrested or killed if they return to the country.
","8/0:Worried that party colleagues still face arrest for their politics, opposition leader Sam Rainsy sought further clarification Friday of security guarantees promised by strongman Hun Sen. Sam Rainsy wrote in a letter to King Norodom Sihanouk that he was eager to attend the first session of the new National Assembly on Nov. 25, but complained that Hun Sen's assurances were not strong enough to ease concerns his party members may be arrested upon their return to Cambodia.
","6/7:He said it contained indirect language and loopholes that suggest he and his Sam Rainsy Party members are still under threat of arrest from Hun Sen's ruling party.
"
25,"Rainey had been accused by Hun Sen of being behind an assassination attempt against him during massive street demonstrations in September.
","8/4:The alleged assassination attempt came during massive street demonstrations organized by the opposition after Hun Sen's Cambodian People's Party narrowly won the election.
","8/3:Sam Rainsy, a staunch critic of Hun Sen, was forced to take refuge in a U.N. office in September to avoid arrest after Hun Sen accused him of being behind a plot against his life.
","6/1:The assurances were aimed especially at Sam Rainsy, leader of a vocally anti-Hun Sen opposition party, who was forced to take refuge in the U.N. offices in September to avoid arrest after Hun Sen accused him of being behind a plot against his life.
"
3,"A U.S. House resolution criticized Hun Sen's regime while the opposition tried to cut off his access to loans.
","7/5:Hun Sen used Thursday's anniversary of a peace agreement ending the country's civil war to pressure the opposition to form a coalition government with his party.
","4/0:Cambodia's ruling party responded Tuesday to criticisms of its leader in the U.S. Congress with a lengthy defense of strongman Hun Sen's human rights record.
","7/13:Hun Sen has rejected the opposition's reservations, saying it would be inappropriate to hold a summit outside the country.
"
4,"But in November the King announced a coalition government with Hun Sen heading the executive and Ranariddh leading the parliament.
","8/7:Ranariddh, whose FUNCINPEC party finished a close second in the election, returned last week and struck a deal with Hun Sen to form a coalition government.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
","6/11:Speaking upon his return from a brief stay in Bangkok, the prince said he would soon meet with Hun Sen to discuss the apportioning of ministries in the new coalition government.
"
5,"Left out, Sam Rainsy sought the King's assurance of Hun Sen's promise of safety and freedom for all politicians.
","6/4:In a letter to King Norodom Sihanouk _ the prince's father and Cambodia's head of state _ that was broadcast on television Tuesday, Hun Sen said that guarantees of safety extended to Ranariddh applied to all politicians.
","5/18:Sam Rainsy, a virulent critic of Hun Sen, and his party's 14 other members of parliament have remained outside Cambodia since September amid fears for their security.
","9/8:Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.
"
6,"Cambodian elections, fraudulent according to opposition parties, gave the CPP of Hun Sen a scant majority but not enough to form its own government.
","7/7:Hun Sen's party won 64 of the 122 seats in parliament in July's national election, but not the two-thirds majority necessary to form a government on its own.
","9/7:Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.
","2/22:The CPP fell short of the two-thirds majority needed to form a government alone.
"
7,"Opposition leaders fearing arrest, or worse, fled and asked for talks outside the country.
","9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
","7/11:Ranariddh and Sam Rainsy have remained outside the country since the Sept. 24 ceremonial convening of parliament.
","9/11:Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.
"
8,"Han Sen refused.
","9/3:Hun Sen, however, rejected that.
","6/15:``I think Hun Sen has got everything.
","7/21:Hun Sen ordered police to break up the demonstrations.
"
9,"The UN found evidence of rights violations by Hun Sen prompting the US House to call for an investigation.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
","4/1:The Cambodian People's Party criticized a non-binding resolution passed earlier this month by the U.S. House of Representatives calling for an investigation into violations of international humanitarian law allegedly committed by Hun Sen. Events mentioned in the resolution include Hun Sen's coup last year against his co-prime minister, Prince Norodom Ranariddh, and his violent crackdown in September against anti-government demonstrations.
","7/21:Hun Sen ordered police to break up the demonstrations.
"
