"3/1:The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
",sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"Uncompromising enemies just a few months ago, Hun Sen and FUNCINPEC President Prince Norodom Ranariddh agreed Nov. 13 to form a government at a summit convened by Sihanouk.
",2,100,0.19608,0.12245,0.08511,0.19608,0.03487,0.17153666666666667
"Hun Sen said his current government would remain in power as long as the opposition refused to form a new one.
",136,100,0.22727,0.09524,0.05,0.18182,0.02592,0.16811
"Negotiations to form the next government have become deadlocked, and opposition party leaders Prince Norodom Ranariddh and Sam Rainsy are out of the country following threats of arrest from strongman Hun Sen. Hun Sen complained Monday that the opposition was trying to make its members' return an international issue.
",9,100,0.30556,0.02857,0.0,0.16667,0.04059,0.16693333333333335
"The deal should allow rapid formation of a government between the CPP and Ranariddh's royalist FUNCINPEC to allow international donors and businesses to again operate in the poverty-stricken country, which is in desperate need of aid.
",38,100,0.29508,0.0339,0.0,0.16393,0.04602,0.16430333333333333
"In September, thousands of people filled the streets of Phnom Penh to protest against the alleged election fraud.
",146,100,0.2439,0.0,0.0,0.2439,0.04926,0.1626
"The opposition, alleging widespread fraud and intimidation, refused to accept the results of the polls.
",155,100,0.26316,0.0,0.0,0.21053,0.04469,0.15789666666666666
"Other details of the Senate, including how much power it will be given in the promulgation of legislation, have yet to be ironed out by the two parties.
",7,100,0.27451,0.0,0.0,0.19608,0.05705,0.15686333333333333
"A series of negotiations to forge a new government have failed.
",62,100,0.23529,0.0,0.0,0.23529,0.03897,0.15686
"``We respectfully advise the Asian Development Bank not to provide any new loans to the current regime in Cambodia,'' the two party leaders wrote.
",13,100,0.29788,0.0,0.0,0.17021,0.04915,0.15603
"The ruling party also reminded the United States that Washington supported a Cambodian exile government dominated by the brutal Khmer Rouge in the 1980s.
",80,100,0.25532,0.0,0.0,0.21276,0.04537,0.15602666666666667
"In it, the king called on the three parties to make compromises to end the stalemate: ``Papa would like to ask all three parties to take responsibility before the nation and the people.''
",130,100,0.21429,0.03704,0.0,0.21429,0.03841,0.1552066666666667
"The assurances were aimed especially at Sam Rainsy, leader of a vocally anti-Hun Sen opposition party, who was forced to take refuge in the U.N. offices in September to avoid arrest after Hun Sen accused him of being behind a plot against his life.
",107,100,0.26087,0.0,0.0,0.2029,0.04503,0.15459
"It defended Hun Sen's ouster of Ranariddh as a proper response to the prince's attempts at the time to negotiate the defections of senior Khmer Rouge rebels.
",70,100,0.30769,0.0,0.0,0.15384,0.05159,0.15384333333333333
"It was one of the main stumbling blocks in months of discord.
",27,100,0.22857,0.0606,0.0,0.17142,0.03134,0.15352999999999997
"Hun Sen announced a government guarantee Wednesday of all politicians' safety and their right to conduct political activities ``in accordance with the laws in force.''
",151,100,0.25,0.04348,0.0,0.16667,0.03255,0.15338333333333334
"The alleged assassination attempt came during massive street demonstrations organized by the opposition after Hun Sen's Cambodian People's Party narrowly won the election.
",154,100,0.25,0.0,0.0,0.20833,0.05064,0.15277666666666667
"``Only those who want to prolong the anarchy and instability prevent efforts to set up a new government,'' Hun Sen said in a televised speech marking the anniversary of the 1991 Paris Peace Accords.
",132,100,0.2807,0.0,0.0,0.17544,0.04177,0.15204666666666666
"Earlier, as both sides arrived at the Royal Palace for a second day of meetings, Sihanouk said they had agreed in principle to form a coalition and made ``important concessions.''
",40,100,0.18868,0.07843,0.04081,0.18868,0.03198,0.15192999999999998
"His assurances come a week before the first session of Cambodia's new parliament, the National Assembly.
",111,100,0.25,0.0,0.0,0.2,0.03599,0.15
"Cambodian leader Hun Sen has guaranteed the safety and political freedom of all politicians, trying to ease the fears of his rivals that they will be arrested or killed if they return to the country.
",106,100,0.24138,0.0,0.0,0.2069,0.04245,0.14942666666666668
"Speaking upon his return from a brief stay in Bangkok, the prince said he would soon meet with Hun Sen to discuss the apportioning of ministries in the new coalition government.
",117,100,0.25926,0.0,0.0,0.18518,0.039,0.14814666666666668
"A copy of the resolution has since been submitted to the U.S. Senate Committee on Foreign Relations.
",68,100,0.2439,0.0,0.0,0.19512,0.02956,0.14634
"Cambodian leader Hun Sen, who heads the CPP, has offered to share the legislature's top job with the royalist FUNCINPEC party of Prince Norodom Ranariddh in order to break the impasse.
",53,100,0.25455,0.0,0.0,0.18182,0.04806,0.14545666666666668
"Last week, Hun Sen's Cambodian People's Party and Ranariddh's FUNCINPEC party agreed to form a coalition that would leave Hun Sen as sole prime minister and make the prince president of the National Assembly.
",118,100,0.23333,0.06897,0.03571,0.13333,0.02612,0.14521
"After two weeks of tolerating the demonstrations, Hun Sen ordered a violent crackdown that resulted in the deaths of at least four protesters.
",76,100,0.26087,0.0,0.0,0.17391,0.05138,0.14492666666666668
"Cambodia's two-party opposition asked the Asian Development Bank Monday to stop providing loans to the incumbent government, which it calls illegal.
",8,100,0.26087,0.0,0.0,0.17391,0.05138,0.14492666666666668
"Less than two weeks after abandoning hope that he could influence the parties to reach a compromise, Sihanouk is now ``strongly interested'' in presiding over a summit meeting of the three party leaders in Cambodia, Machimura said.
",23,100,0.23333,0.03448,0.0,0.16667,0.0457,0.14482666666666666
"Hun Sen's ruling party narrowly won a majority in elections in July, but the opposition _ claiming widespread intimidation and fraud _ has denied Hun Sen the two-thirds vote in parliament required to approve the next government.
",10,100,0.26667,0.0,0.0,0.16667,0.04353,0.1444466666666667
"The deal, which will make Hun Sen prime minister and Ranariddh president of the National Assembly, ended more than three months of political deadlock that followed a July election narrowly won by Hun Sen. Key to the agreement was the formation of a Senate as the upper house of Parliament, to be led by CPP President Chea Sim, the outgoing head of the National Assembly.
",3,100,0.22728,0.02325,0.0,0.18182,0.03771,0.14411666666666667
"Pok Than, one of Ranariddh's negotiators, said the Senate would serve a mostly advisory role to the assembly.
",34,100,0.2381,0.0,0.0,0.19048,0.03773,0.14286000000000001
"Ranariddh said Saturday that the two parties agreed to keep the ministries of interior and defense under co-ministers.
",92,100,0.2381,0.0,0.0,0.19048,0.03773,0.14286000000000001
"After a series of border clashes, the Khmer Rouge was ousted from power by an invading Vietnamese army that set up a surrogate Cambodian communist government later led by Hun Sen. The ruling party accused U.S. policy-makers of not taking timely action to save the Cambodian people from the Khmer Rouge.
",82,100,0.26316,0.0,0.0,0.1579,0.03924,0.14035333333333333
"Fearing arrest, many opposition members of Parliament left Cambodia after the ceremonial opening of the National Assembly on Sep. 24.
",61,100,0.23256,0.0,0.0,0.18604,0.04063,0.13953333333333331
"King Norodom Sihanouk on Tuesday praised agreements by Cambodia's top two political parties _ previously bitter rivals _ to form a coalition government led by strongman Hun Sen. In a short letter sent to news agencies, the king said he had received copies of cooperation agreements signed Monday that will place Hun Sen and his Cambodian People's Party in firm control of fiscal and administrative functions in the government.
",0,100,0.23913,0.04444,0.02273,0.13044,0.02847,0.13800333333333334
"The killings of nearly 100 of Ranariddh's supporters documented by U.N. human rights workers in the aftermath of the coup were dismissed by the CPP as mostly fabrications meant to distort the political situation.
",72,100,0.20339,0.0,0.0,0.20339,0.04077,0.13559333333333332
"Their ability to repair their relationship and work together will be the key to a stable coalition.
",97,100,0.2,0.0,0.0,0.2,0.03085,0.13333333333333333
"``It should be easy for them to say, `Rainsy and the SRP members of the assembly have no charges against them and will not be arrested,''' the opposition leader said in a statement.
",114,100,0.21429,0.0,0.0,0.17857,0.03073,0.13095333333333334
"After a three-month impasse, they agreed last week to a coalition deal that will make Hun Sen sole prime minister and Ranariddh president of the National Assembly.
",89,100,0.2353,0.0,0.0,0.15686,0.03804,0.13072
"Cambodia's ruling party responded Tuesday to criticisms of its leader in the U.S. Congress with a lengthy defense of strongman Hun Sen's human rights record.
",66,100,0.2353,0.0,0.0,0.15686,0.0317,0.13072
"Instead, Sihanouk announced, the constitution will be modified to create a new Senate, which Chea Sim will head.
",28,100,0.19512,0.0,0.0,0.19512,0.02956,0.13008
"Cambodia's bickering political parties broke a three-month deadlock Friday and agreed to a coalition government leaving strongman Hun Sen as sole prime minister, King Norodom Sihanouk announced.
",24,100,0.23077,0.0,0.0,0.15384,0.02732,0.12820333333333334
"Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
",162,100,0.21276,0.0,0.0,0.17021,0.03025,0.12765666666666667
"The senior Senate leaders will join those of the assembly, the prime minister and the country's top two Buddhist monks in a delicate balance of power on the council that will choose Cambodia's next king after Sihanouk dies.
",35,100,0.22222,0.0,0.0,0.15873,0.02904,0.12698333333333334
"The Khmer Rouge was responsible for the deaths of as many as 2 million people during the guerrilla group's 1975-79 rule of Cambodia.
",81,100,0.20833,0.0,0.0,0.16667,0.02893,0.125
"The opposition has insisted that any further talks on the next government must take place outside the country, but the ruling party has rejected allegations of intimidation and recently guaranteed opposition members' safety inside the country.
",21,100,0.23729,0.0,0.0,0.13559,0.03624,0.12429333333333333
"``But the ruling party refuses to negotiate unless it is able to threaten its negotiating partners with arrest or worse.''
",178,100,0.18604,0.0,0.0,0.18604,0.02709,0.12402666666666667
"``The leaders of illegal demonstrations are the ones who must bear responsibility for the consequences deriving from the protest,'' the CPP said Tuesday, referring to the deadly violence as ``minor incidents.''
",79,100,0.18518,0.0,0.0,0.18518,0.039,0.12345333333333335
"The vote failed to put an end to instability that followed last year's coup.
",45,100,0.21053,0.0,0.0,0.15789,0.02235,0.12280666666666666
"Hun Sen was not home at the time of the attack, which was followed by a police crackdown on demonstrators contesting Hun Sen's election victory.
",175,100,0.20408,0.0,0.0,0.16327,0.03114,0.12245
"In a letter to King Norodom Sihanouk _ the prince's father and Cambodia's head of state _ that was broadcast on television Tuesday, Hun Sen said that guarantees of safety extended to Ranariddh applied to all politicians.
",110,100,0.2,0.0,0.0,0.16667,0.02394,0.12222333333333335
"After a meeting between Hun Sen and the new French ambassador to Cambodia, Hun Sen aide Prak Sokhonn said the Cambodian leader had repeated calls for the opposition to return, but expressed concern that the international community may be asked for security guarantees.
",15,100,0.21212,0.0,0.0,0.15152,0.02422,0.12121333333333333
"Ranariddh and Sam Rainsy renewed their international lobbying campaign against the old government Monday in a letter to ADB President Mitsuo Sato calling for the bank to stop lending money to it.
",12,100,0.21818,0.0,0.0,0.14545,0.0267,0.12121
"The remaining senators, he said, should be selected by a method agreed upon by the new government and the National Assembly.
",5,100,0.22727,0.0,0.0,0.13636,0.03024,0.12121
"Negotiations so far have proved fruitless except for the opening of parliament after a Sept. 22 summit led by the king.
",140,100,0.22727,0.0,0.0,0.13636,0.03456,0.12121
"``No party with seats at the National Assembly should be left out if transparency and a check and balance system is to be used in government,'' the statement said, adding that the Sam Rainsy Party should also be given chairmanship of one of the national assembly's nine commissions.
",58,100,0.25,0.0,0.0,0.11111,0.02939,0.12036999999999999
"The U.N. secretary-general's representative office in Phnom Penh provided monitors to opposition politicians after they returned to Cambodia to participate in the July election.
",18,100,0.2,0.0,0.0,0.16,0.03311,0.12
"``There have been reports that there is an attempt to internationalize the return of those members of parliament on the excuse of security problems,'' Prak Sokhonn said.
",16,100,0.2,0.0,0.0,0.16,0.02649,0.12
"Sihanouk, recalling procedures used in a past government, suggested Tuesday that he should appoint the first two members of the upper house.
",4,100,0.22222,0.0,0.0,0.13333,0.01653,0.11851666666666667
"The king, the sole force in Cambodian politics able to broker a deal, pressured both sides to reach agreement before he leaves Saturday for medical treatment in Beijing.
",41,100,0.19608,0.0,0.0,0.15686,0.02853,0.11764666666666668
"Hun Sen implied Thursday that the opposition failed to follow through on promises made at the summit.
",141,100,0.2,0.0,0.0,0.15,0.0257,0.11666666666666665
"Cambodia's leading opposition party ruled out sharing the presidency of Parliament with its arch foe Saturday, insisting it alone must occupy the top position in the legislative body.
",51,100,0.1923,0.0,0.0,0.15384,0.02124,0.11538
"Sok An, representing Hun Sen's party, said Friday that one working group had completed its work on a joint political platform to be implemented by the new government.
",160,100,0.1923,0.0,0.0,0.15384,0.02428,0.11538
"``The major political crisis in the country has been resolved and the political deadlock facing the nation has also come to an end,'' the king said in his statement.
",30,100,0.1923,0.0,0.0,0.15384,0.03338,0.11538
"The two parties said that the assembly would convene again Nov. 25.
",36,100,0.17142,0.0,0.0,0.17142,0.01881,0.11427999999999999
"Noting that FUNCINPEC allowed the CPP to hold the presidency despite its win in the 1993 general elections, the statement said it was now its turn to take the post.
",59,100,0.18868,0.0,0.0,0.15094,0.02907,0.11320666666666666
"Hun Sen and Ranariddh, co-prime ministers in a coalition formed in 1993 after a landmark U.N.-sponsored election, often clashed over power-sharing and the integration of guerrilla fighters from the crumbling Khmer Rouge.
",85,100,0.20339,0.0,0.0,0.13559,0.01812,0.11299333333333332
"Sam Rainsy, a staunch critic of Hun Sen, was forced to take refuge in a U.N. office in September to avoid arrest after Hun Sen accused him of being behind a plot against his life.
",153,100,0.20339,0.0,0.0,0.13559,0.02265,0.11299333333333332
"``The CPP would like to launch an appeal to U.S. senators to wisely and realistically consider this draft resolution and give justice to the CPP, Hun Sen and the Cambodian people by not approving it,'' the party said in a statement.
",69,100,0.21539,0.0,0.0,0.12308,0.03051,0.11282333333333333
"The Cambodian People's Party criticized a non-binding resolution passed earlier this month by the U.S. House of Representatives calling for an investigation into violations of international humanitarian law allegedly committed by Hun Sen. Events mentioned in the resolution include Hun Sen's coup last year against his co-prime minister, Prince Norodom Ranariddh, and his violent crackdown in September against anti-government demonstrations.
",67,100,0.20224,0.0,0.0,0.13483,0.02168,0.11235666666666666
"Sam Rainsy and the 14 members of parliament from his party have been holed up overseas for two months.
",108,100,0.19048,0.0,0.0,0.14285,0.01887,0.11111
"``I would like to make it clear that all meetings related to Cambodian affairs must be conducted in the Kingdom of Cambodia,'' Hun Sen told reporters after a Cabinet meeting on Friday.
",166,100,0.21818,0.0,0.0,0.10909,0.02404,0.10909
"Cambodian politicians expressed hope Monday that a new partnership between the parties of strongman Hun Sen and his rival, Prince Norodom Ranariddh, in a coalition government would not end in more violence.
",84,100,0.18182,0.0,0.0,0.14545,0.02404,0.10909
"Hun Sen has rejected the opposition's reservations, saying it would be inappropriate to hold a summit outside the country.
",139,100,0.18604,0.0,0.0,0.13953,0.02257,0.10852333333333335
"``A meeting outside Cambodia, as suggested by the opposition, could place all parties on more equal footing,'' said the statement.
",177,100,0.18604,0.0,0.0,0.13953,0.01355,0.10852333333333335
"A copy of the letter was obtained Thursday.
",129,100,0.19354,0.0,0.0,0.12904,0.00711,0.10752666666666666
"Cambodian leader Hun Sen's ruling party and the two-party opposition had called on the monarch to lead top-level talks, but disagreed on its location.
",127,100,0.16,0.0,0.0,0.16,0.02318,0.10666666666666667
"Ranariddh and his core supporters did not return to Cambodia until a few months before an election in July this year that the ruling party narrowly won.
",73,100,0.2,0.0,0.0,0.12,0.01656,0.10666666666666667
"``At best the current regime could be considered a caretaker government as it has not been approved by the National Assembly.''
",14,100,0.18182,0.0,0.0,0.13636,0.01728,0.10606
"In a long-elusive compromise, opposition leader Prince Norodom Ranariddh will become president of the National Assembly resulting from disputed elections in July, even though Hun Sen's party holds a majority of 64 seats in the 122-member chamber.
",25,100,0.19048,0.0,0.0,0.12698,0.02323,0.10582000000000001
"The platform is said to emphasize administrative, economic and judicial reforms, but Sok An would not reveal details, saying Hun Sen would announce it when he presents his Cabinet choices to the National Assembly.
",161,100,0.17544,0.0,0.0,0.14035,0.01966,0.10526333333333333
"The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",158,100,0.15789,0.0,0.0,0.15789,0.01676,0.10526
"But a deal reached between Hun Sen and his chief rival, Prince Norodom Ranariddh, on forming a new government last week has opened the door for their return.
",109,100,0.15686,0.04082,0.0,0.11764,0.00951,0.10510666666666667
"The talks have been complicated by the CPP-FUNCINPEC quarrel over the Parliament's top job.
",63,100,0.15384,0.0,0.0,0.15384,0.01609,0.10256
"``If those results are strictly respected, there seems no reason to hold another summit,'' Hun Sen said in a speech on the anniversary of the 1991 Paris Peace Accords.
",142,100,0.1923,0.0,0.0,0.11538,0.01518,0.10256
"``Some (opposition politicians) have wanted the United Nations to help guarantee a safe return for them.''
",17,100,0.15384,0.0,0.0,0.15384,0.01609,0.10256
"The ruling party supported the police action in its statement, noting that public property was damaged by protesters and that grenades were thrown at Hun Sen's home after Sam Rainsy suggested in a speech that the U.S. government should fire cruise missiles at Hun Sen. The opposition claims the grenade attack was staged as an excuse to begin the crackdown.
",78,100,0.18823,0.0,0.0,0.11765,0.02425,0.10196000000000001
"It is detrimental to the sovereignty of Cambodia,'' he said.
",168,100,0.18181,0.0,0.0,0.12122,0.01343,0.10101
"At least four demonstrators were killed by police, but the discovery of more than 20 bodies in the aftermath has prompted speculation that the death tally could be much higher.
",148,100,0.15094,0.0,0.0,0.15094,0.01744,0.10062666666666666
"``Papa will not preside over any summit meeting between the three parties, whether it is held in Phnom Penh or Beijing, because such a meeting will certainly achieve no result,'' Sihanouk wrote in an Oct. 17 letter to his son, Prince Norodom Ranariddh, leader of the senior opposition FUNCINPEC party.
",128,100,0.19178,0.0,0.0,0.10959,0.02165,0.10045666666666668
"He's got the premiership and legitimacy through the election and recognition from his majesty the king.
",122,100,0.15,0.0,0.0,0.15,0.01543,0.09999999999999999
"Ranariddh and Sam Rainsy have remained outside the country since the Sept. 24 ceremonial convening of parliament.
",137,100,0.15,0.0,0.0,0.15,0.01543,0.09999999999999999
"Citing Hun Sen's threats to arrest opposition politicians following two alleged attempts on his life, Ranariddh and Sam Rainsy have said they do not feel safe negotiating inside the country and asked the king to chair the summit at his residence in Beijing.
",138,100,0.1791,0.0,0.0,0.1194,0.01668,0.09949999999999999
"Hun Sen and Ranariddh are scheduled to meet Nov. 23 _ two days before parliament reopens _ to review the results of the working groups and give their final approval, Ahmad Yahya said.
",96,100,0.18518,0.0,0.0,0.11111,0.01392,0.09876333333333333
"The prince's party, in a statement dated Friday and seen Saturday, said such a scenario was unconstitutional.
",54,100,0.14634,0.0,0.0,0.14634,0.0197,0.09756
"Chea Sim will still serve as acting head of state during the king's frequent absences from the country.
",29,100,0.14285,0.0,0.0,0.14285,0.01415,0.09523333333333334
"They have demanded a thorough investigation into their election complaints as a precondition for their cooperation in getting the national assembly moving and a new government formed.
",171,100,0.16,0.0,0.0,0.12,0.01325,0.09333333333333334
"``They must not make unjust accusations against those who led the struggle to liberate the people from genocide,'' it added.
",83,100,0.13953,0.0,0.0,0.13953,0.01355,0.09301999999999999
"Ranariddh's party and opposition ally Sam Rainsy held back their support, claiming the CPP won due to fraud and intimidation.
",47,100,0.13636,0.0,0.0,0.13636,0.01296,0.09090666666666668
"It also repeated claims that the prince's party had moved rebel soldiers into Phnom Penh, a contention that remains unproved.
",71,100,0.13636,0.0,0.0,0.13636,0.01296,0.09090666666666668
"All five were convicted of political crimes by courts that are widely seen as loyal to Hun Sen. The king has powers to grant pardons, but has awaited agreement from Hun Sen in politically sensitive cases.
",43,100,0.13559,0.0,0.0,0.13559,0.01359,0.09039333333333333
"Diplomatic efforts to revive the stalled talks appeared to bear fruit Monday as Japanese Foreign Affairs Secretary of State Nobutaka Machimura said King Norodom Sihanouk has called on Ranariddh and Sam Rainsy to return to Cambodia.
",22,100,0.13559,0.0,0.0,0.13559,0.01812,0.09039333333333333
"The parties will hammer out details later.
",33,100,0.13334,0.0,0.0,0.13334,0.00729,0.08889333333333332
"Sihanouk reported that Hun Sen responded positively to a request by Ranariddh for five of his key supporters to receive political pardons.
",42,100,0.17778,0.0,0.0,0.08889,0.0124,0.08888999999999998
"Ranariddh's ally, Sam Rainsy, whose party placed a distant third in the election, was left out of last week's deal.
",101,100,0.17778,0.0,0.0,0.08889,0.0124,0.08888999999999998
"``The protocol on cooperation between the CPP and FUNCINPEC will certainly bring peace and progress to our nation and people,'' Sihanouk wrote.
",1,100,0.13333,0.0,0.0,0.13333,0.0124,0.08888666666666667
"Hun Sen's Cambodian People's Party narrowly won the polls, but a strong second-place finish by Ranariddh's FUNCINPEC gave the royalist party leverage in post-election negotiations.
",88,100,0.15094,0.0,0.0,0.11321,0.01744,0.08805
"FUNCINPEC has demanded from Hun Sen written guarantees for the safety of its members and activities as a precondition for re-entering negotiations.
",65,100,0.13043,0.0,0.0,0.13043,0.01186,0.08695333333333333
"They will have to compromise to achieve results.''
",100,100,0.12904,0.0,0.0,0.12904,0.00711,0.08602666666666665
"Worried that party colleagues still face arrest for their politics, opposition leader Sam Rainsy sought further clarification Friday of security guarantees promised by strongman Hun Sen. Sam Rainsy wrote in a letter to King Norodom Sihanouk that he was eager to attend the first session of the new National Assembly on Nov. 25, but complained that Hun Sen's assurances were not strong enough to ease concerns his party members may be arrested upon their return to Cambodia.
",150,100,0.15841,0.0,0.0,0.09901,0.01536,0.08580666666666666
"Sam Rainsy, who earlier called Hun Sen's statement ``full of loopholes,'' asked Sihanouk for his help in obtaining a promise from Hun Sen that all members of the Sam Rainsy Party were free from prosecution for their political activities during and after last July's election.
",152,100,0.17143,0.0,0.0,0.08571,0.01199,0.08571333333333332
"The prince fled Cambodia and did not return until a few months before elections in July.
",87,100,0.15384,0.0,0.0,0.10257,0.01073,0.08547
"Hun Sen said on Friday that the opposition concerns over their safety in the country was ``just an excuse for them to stay abroad.''
",172,100,0.12766,0.0,0.0,0.12766,0.01134,0.08510666666666666
"The royalist party also rejected Hun Sen's calls to hold bilateral talks, insisting that Ranariddh's main ally Sam Rainsy also be included.
",57,100,0.12766,0.0,0.0,0.12766,0.01134,0.08510666666666666
"Opposition parties led by Ranariddh and former finance minister Sam Ram Rainsy have refused to enter into a coalition with Hun Sen until their allegations of election fraud have been thoroughly investigated.
",134,100,0.14545,0.0,0.0,0.10909,0.00801,0.08484666666666667
"It could also hasten Cambodia's entry into the Association of Southeast Asian Nations, put on hold last year after Hun Sen deposed Ranariddh as co-prime minister in a bloody coup.
",39,100,0.14545,0.0,0.0,0.10909,0.01335,0.08484666666666667
"Hun Sen said Monday that the CPP and FUNCINPEC had agreed that the Senate would be half as large as the 122-seat National Assembly.
",6,100,0.125,0.0,0.0,0.125,0.01085,0.08333333333333333
"The 75-year-old monarch suffers from a variety ailments and periodically makes extended trips to Beijing.
",144,100,0.15,0.0,0.0,0.1,0.01029,0.08333333333333333
"The Senate will initially be appointed by the king.
",31,100,0.125,0.0,0.0,0.125,0.00692,0.08333333333333333
"Hun Sen ordered police to break up the demonstrations.
",147,100,0.125,0.0,0.0,0.125,0.00692,0.08333333333333333
"Sihanouk is reportedly set to fly to Beijing next month to receive medical treatment from his Chinese doctors.
",143,100,0.14634,0.0,0.0,0.09756,0.00986,0.0813
"Meanwhile, it says, the old government is holding power illegally.
",11,100,0.12122,0.0,0.0,0.12122,0.00671,0.08081333333333333
"In a letter to King Norodom Sihanouk released Monday, Sam Rainsy complained that Hun Sen had not responded to his queries on security, making it unsafe for his people to return for the reconvening of parliament.
",103,100,0.16949,0.0,0.0,0.0678,0.00679,0.07909666666666666
"Sam Rainsy, a virulent critic of Hun Sen, and his party's 14 other members of parliament have remained outside Cambodia since September amid fears for their security.
",102,100,0.15686,0.0,0.0,0.07843,0.00634,0.07843
"``Co-sharing anything with the CPP means surrendering full power to them.
",55,100,0.11429,0.0,0.0,0.11429,0.00627,0.07619333333333334
"Ranariddh and his opposition ally, Sam Rainsy, refused to accept the election results, alleging widespread intimidation and fraud by the CPP.
",74,100,0.13636,0.0,0.0,0.09091,0.00864,0.07575666666666668
"When their claims were dismissed by a Hun Sen-friendly court, they rallied their supporters into the streets of Phnom Penh.
",75,100,0.13636,0.0,0.0,0.09091,0.00432,0.07575666666666668
"The prince also said that his top general, Nhek Bunchhay, would not be given back his previous position as the second-ranking general in the Cambodian military's general staff.
",124,100,0.11321,0.0,0.0,0.11321,0.00872,0.07547333333333334
"``Our office has not received any official request for that operation to be started up again,'' U.N. diplomat Jonathan Prentice said Monday in reaction to Prak Sokhonn's statement.
",20,100,0.11321,0.0,0.0,0.11321,0.00872,0.07547333333333334
"U.N. human rights workers later discovered more than 20 bodies _ many bearing signs of torture _ in and around the capital, prompting speculation that the death toll could be much higher.
",77,100,0.11111,0.0,0.0,0.11111,0.00836,0.07407333333333334
"Their arguments turned bloody last year when Hun Sen ousted Ranariddh in a coup.
",86,100,0.10811,0.0,0.0,0.10811,0.00581,0.07207333333333334
"``They have to be careful with the way they work and what they say.
",99,100,0.10811,0.0,0.0,0.10811,0.00581,0.07207333333333334
"The agreement came surprisingly quickly following Ranariddh's return Thursday from Thailand, where he had been holed up with other opposition figures for weeks amid fears for their safety if they stayed in Cambodia.
",37,100,0.10526,0.0,0.0,0.10526,0.00737,0.07017333333333334
"Sam Rainsy said he had been told by Ranariddh that his party and former Khmer Rouge guerrillas had been implicated by Hun Sen in a rocket attack on the Sept. 24 opening of parliament.
",104,100,0.14035,0.0,0.0,0.07017,0.00737,0.07017333333333332
"Hun Sen's Cambodian People's Party dropped insistence on a joint assembly chairmanship shared by Ranariddh and party boss Chea Sim, the current speaker.
",26,100,0.125,0.0,0.0,0.08333,0.00724,0.06944333333333334
