summary_index,summary_sent,01-sentence,01-avgF1_rouge,02-overlap-sentence,02-overlap-avgF1_rouge,03-overlap-sentence,03-overlap-avgF1_rouge
2/2:15,"Opposition parties ask the Asian Development Bank to stop loans to Hun Sen's government.
","1/0:Cambodia's two-party opposition asked the Asian Development Bank Monday to stop providing loans to the incumbent government, which it calls illegal.
",0.5321633333333332,"9/3:Hun Sen, however, rejected that.
",0.2657333333333333,,
2/3:16,"CCP defends Hun Sen to the US Senate.
","7/21:Hun Sen ordered police to break up the demonstrations.
",0.35817000000000004,,,,
2/5:18,"Hun Sen and Ranariddh eventually form a coalition at summit convened by Sihanouk.
","0/2:Uncompromising enemies just a few months ago, Hun Sen and FUNCINPEC President Prince Norodom Ranariddh agreed Nov. 13 to form a government at a summit convened by Sihanouk.
",0.46029000000000003,,,,
2/6:19,"Hun Sen remains prime minister, Ranariddh is president of the national assembly, and a new senate will be formed.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",0.5563733333333333,"5/11:The parties are to form working groups this week to divide remaining government posts and draft a constitutional amendment to form a new Senate.
",0.2689766666666667,,
2/7:20,"Opposition leader Rainsy left out.
","5/17:Ranariddh's ally, Sam Rainsy, whose party placed a distant third in the election, was left out of last week's deal.
",0.17481333333333335,"6/8:``It should be easy for them to say, `Rainsy and the SRP members of the assembly have no charges against them and will not be arrested,''' the opposition leader said in a statement.
",0.09368666666666665,,
21,"He seeks strong assurance of safety should he return to Cambodia.
",,,,,,
3/0:22,"Cambodia King Norodom Sihanouk praised formation of a coalition of the Countries top two political parties, leaving strongman Hun Sen as Prime Minister and opposition leader Prince Norodom Ranariddh president of the National Assembly.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",0.44,"7/0:King Norodom Sihanouk has declined requests to chair a summit of Cambodia's top political leaders, saying the meeting would not bring any progress in deadlocked negotiations to form a government.
",0.2464666666666667,,
3/1:23,"The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
","2/22:The CPP fell short of the two-thirds majority needed to form a government alone.
",0.30117,,,,
3/2:24,"Opposition leader Sam Rainey was seeking assurances that he and his party members would not be arrested if they return to Cambodia.
","6/0:Cambodian leader Hun Sen has guaranteed the safety and political freedom of all politicians, trying to ease the fears of his rivals that they will be arrested or killed if they return to the country.
",0.27071,"4/7:Ranariddh and his core supporters did not return to Cambodia until a few months before an election in July this year that the ruling party narrowly won.
",0.20421999999999998,,
3/3:25,"Rainey had been accused by Hun Sen of being behind an assassination attempt against him during massive street demonstrations in September.
","8/4:The alleged assassination attempt came during massive street demonstrations organized by the opposition after Hun Sen's Cambodian People's Party narrowly won the election.
",0.29314666666666667,,,,
8,"Han Sen refused.
",,,,,,
